P,tau2,s2,mu_ce,var_ce,se_ce,ef_ce,mu_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
Normal,1.0,0.5,0.0,2.0442352,2.8618767e-06,23.78288,0.0,1.2573905,1.7851121e-06,23.78288,0.6150909,0.0095353415
Normal,1.0,0.525,0.0,1.9468908,2.7255962e-06,32.030193,0.0,1.0807569,1.5343452e-06,32.030193,0.5551194,0.008605634
Normal,1.0,0.55,0.0,1.8583956,2.601706e-06,41.39216,0.0,0.92589617,1.314491e-06,41.39216,0.4982234,0.00772362
Normal,1.0,0.575,0.0,1.7775958,2.4885887e-06,51.18987,0.0,0.78996915,1.1215154e-06,51.18987,0.44440314,0.006889279
Normal,1.0,0.59999996,0.0,1.7035296,2.3848977e-06,60.649197,0.0,0.6706084,9.520599e-07,60.649197,0.3936582,0.0061026174
Normal,1.0,0.625,0.0,1.6353884,2.2895008e-06,69.13848,0.0,0.5658255,8.033004e-07,69.13848,0.34598848,0.0053636264
Normal,1.0,0.65,0.0,1.5724887,2.201444e-06,76.31105,0.0,0.47393945,6.7284986e-07,76.31105,0.30139452,0.004672315
Normal,1.0,0.675,0.0,1.5142485,2.1199082e-06,82.10194,0.0,0.39351645,5.586737e-07,82.10194,0.25987574,0.004028679
Normal,1.0,0.7,0.0,1.460168,2.0441976e-06,86.634,0.0,0.32332888,4.5902866e-07,86.634,0.22143266,0.003432721
Normal,1.0,0.725,0.0,1.4098175,1.9737079e-06,90.11388,0.0,0.26231757,3.7241134e-07,90.11388,0.18606491,0.0028844397
Normal,1.0,0.75,0.0,1.3628237,1.9079175e-06,92.758446,0.0,0.20956516,2.975189e-07,92.758446,0.15377276,0.0023838356
Normal,1.0,0.775,0.0,1.3188616,1.8463718e-06,94.75879,0.0,0.16427208,2.3321641e-07,94.75879,0.12455597,0.0019309069
Normal,1.0,0.79999995,0.0,1.2776469,1.7886729e-06,96.26834,0.0,0.12573907,1.7851123e-07,96.26834,0.09841457,0.0015256545
Normal,1.0,0.825,0.0,1.2389305,1.7344706e-06,97.40439,0.0,0.09335172,1.3253103e-07,97.40439,0.07534864,0.001168079
Normal,1.0,0.85,0.0,1.2024913,1.6834567e-06,98.254486,0.0,0.0665677,9.450589e-08,98.254486,0.055358153,0.00085817993
Normal,1.0,0.875,0.0,1.1681343,1.635358e-06,98.882935,0.0,0.044906754,6.375394e-08,98.882935,0.03844314,0.000595958
Normal,1.0,0.9,0.0,1.1356865,1.5899315e-06,99.3372,0.0,0.027942045,3.9669214e-08,99.3372,0.02460366,0.0003814139
Normal,1.0,0.92499995,0.0,1.1049922,1.54696e-06,99.65257,0.0,0.015292615,2.171086e-08,99.65257,0.013839569,0.00021454548
Normal,1.0,0.9499999,0.0,1.0759134,1.5062503e-06,99.855415,0.0,0.0066178576,9.395341e-09,99.855415,0.00615092,9.535353e-05
Normal,1.0,0.975,0.0,1.0483257,1.467629e-06,99.96603,0.0,0.0016120286,2.2885902e-09,99.96603,0.0015377174,2.383819e-05
Normal,1.0,1.0,0.0,1.0221176,1.4309379e-06,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Normal,1.0,1.025,0.0,0.9971881,1.3960376e-06,99.96971,0.0,0.0015333943,2.1769535e-09,99.96971,0.0015377182,2.3838209e-05
Normal,1.0,1.05,0.0,0.9734456,1.3627983e-06,99.88505,0.0,0.0059875567,8.500504e-09,99.88505,0.0061508897,9.5353054e-05
Normal,1.0,1.075,0.0,0.95080715,1.3311052e-06,99.75413,0.0,0.01315875,1.8681419e-08,99.75413,0.013839557,0.0002145453
Normal,1.0,1.0999999,0.0,0.92919797,1.3008531e-06,99.58368,0.0,0.022861617,3.2456544e-08,99.58368,0.024603602,0.00038141294
Normal,1.0,1.125,0.0,0.9085491,1.2719452e-06,99.37926,0.0,0.03492747,4.9586376e-08,99.37926,0.03844313,0.00059595774
Normal,1.0,1.15,0.0,0.8887979,1.2442941e-06,99.145615,0.0,0.049202252,6.985223e-08,99.145615,0.0553582,0.00085818046
Normal,1.0,1.175,0.0,0.8698875,1.2178197e-06,98.88679,0.0,0.065544754,9.3053636e-08,98.88679,0.07534854,0.001168077
Normal,1.0,1.2,0.0,0.8517647,1.1924485e-06,98.60623,0.0,0.08382608,1.1900755e-07,98.60623,0.0984146,0.001525655
Normal,1.0,1.225,0.0,0.8343817,1.168113e-06,98.30697,0.0,0.10392724,1.4754507e-07,98.30697,0.12455599,0.001930908
Normal,1.0,1.25,0.0,0.8176942,1.1447505e-06,97.99164,0.0,0.12573908,1.7851126e-07,97.99164,0.15377274,0.0023838351
Normal,1.0,1.275,0.0,0.80166095,1.1223045e-06,97.662476,0.0,0.149161,2.1176331e-07,97.662476,0.18606494,0.0028844404
Normal,1.0,1.3,0.0,0.78624433,1.1007216e-06,97.32152,0.0,0.1741003,2.4716948e-07,97.32152,0.22143282,0.0034327237
Normal,1.0,1.3249999,0.0,0.7714095,1.0799536e-06,96.97053,0.0,0.20047075,2.8460755e-07,96.97053,0.2598759,0.0040286826
Normal,1.0,1.3499999,0.0,0.75712425,1.0599547e-06,96.61099,0.0,0.22819285,3.2396454e-07,96.61099,0.3013942,0.0046723112
Normal,1.0,1.375,0.0,0.74335825,1.0406823e-06,96.24434,0.0,0.25719354,3.6513646e-07,96.24434,0.34598866,0.005363626
Normal,1.0,1.3999999,0.0,0.73008424,1.0220988e-06,95.87174,0.0,0.2874032,4.0802516e-07,95.87174,0.3936576,0.0061026094
Normal,1.0,1.425,0.0,0.71727556,1.0041668e-06,95.49427,0.0,0.3187593,4.5254117e-07,95.49427,0.44440284,0.0068892725
Normal,1.0,1.45,0.0,0.7049087,9.868537e-07,95.11287,0.0,0.35120225,4.9860046e-07,95.11287,0.49822372,0.007723626
Normal,1.0,1.4749999,0.0,0.6929611,9.701275e-07,94.72841,0.0,0.38467625,5.461232e-07,94.72841,0.5551195,0.008605642
Normal,1.0,1.5,0.0,0.68141174,9.539586e-07,94.34158,0.0,0.41913033,5.9503765e-07,94.34158,0.61509115,0.009535343
Normal,1.0,1.5250001,0.0,0.6702411,9.3832e-07,93.95312,0.0,0.45451584,6.452743e-07,93.95312,0.67813784,0.010512713
Normal,1.0,1.55,0.0,0.65943074,9.2318595e-07,93.5635,0.0,0.4907881,6.9677003e-07,93.5635,0.74426025,0.011537767
Normal,1.0,1.575,0.0,0.6489636,9.0853206e-07,93.17337,0.0,0.5279046,7.49464e-07,93.17337,0.813458,0.012610488
Normal,1.0,1.5999999,0.0,0.63882345,8.943364e-07,92.78309,0.0,0.56582576,8.033003e-07,92.78309,0.88573104,0.013730888
Normal,1.0,1.625,0.0,0.6289955,8.805772e-07,92.393135,0.0,0.6045147,8.5822677e-07,92.393135,0.9610796,0.01489896
Normal,1.0,1.65,0.0,0.61946523,8.6723537e-07,92.00383,0.0,0.64393634,9.141937e-07,92.00383,1.0395036,0.016114723
Normal,1.0,1.675,0.0,0.61021954,8.5429144e-07,91.61555,0.0,0.6840581,9.711541e-07,91.61555,1.1210033,0.017378153
Normal,1.0,1.6999999,0.0,0.6012458,8.417285e-07,91.2285,0.0,0.7248484,1.0290642e-06,91.2285,1.2055774,0.018689252
Normal,1.0,1.7249999,0.0,0.59253204,8.295294e-07,90.84301,0.0,0.76627916,1.0878833e-06,90.84301,1.2932283,0.020048043
Normal,1.0,1.75,0.0,0.5840672,8.176793e-07,90.45924,0.0,0.8083224,1.1475722e-06,90.45924,1.3839544,0.021454517
Normal,1.0,1.775,0.0,0.57584095,8.061623e-07,90.077415,0.0,0.8509522,1.2080934e-06,90.077415,1.4777557,0.022908652
Normal,1.0,1.8,0.0,0.56784326,7.949659e-07,89.69777,0.0,0.89414406,1.2694129e-06,89.69777,1.5746318,0.024410455
Normal,1.0,1.8249999,0.0,0.5600645,7.8407584e-07,89.32035,0.0,0.93787533,1.3314981e-06,89.32035,1.6745845,0.025959956
Normal,1.0,1.85,0.0,0.55249596,7.7348e-07,88.94534,0.0,0.98212427,1.3943182e-06,88.94534,1.7776135,0.02755715
Normal,1.0,1.875,0.0,0.5451293,7.631671e-07,88.57283,0.0,1.0268692,1.4578418e-06,88.57283,1.8837167,0.029201979
Normal,1.0,1.9,0.0,0.5379567,7.5312516e-07,88.20298,0.0,1.0720909,1.5220428e-06,88.20298,1.9928943,0.030894486
Normal,1.0,1.925,0.0,0.5309703,7.433447e-07,87.8358,0.0,1.1177709,1.586895e-06,87.8358,2.1051478,0.032634698
Normal,1.0,1.95,0.0,0.5241628,7.3381443e-07,87.471405,0.0,1.1638926,1.652374e-06,87.471405,2.2204792,0.034422573
Normal,1.0,1.975,0.0,0.5175279,7.2452565e-07,87.10985,0.0,1.2104375,1.7184544e-06,87.10985,2.3388836,0.036258154
Normal,1.0,2.0,0.0,0.5110588,7.154692e-07,86.75117,0.0,1.2573907,1.7851124e-06,86.75117,2.460364,0.038141355
Normal,1.0,2.0249999,0.0,0.5047495,7.0663623e-07,86.39543,0.0,1.3047364,1.8523288e-06,86.39543,2.5849187,0.040072255
Normal,1.0,2.05,0.0,0.49859396,6.9801854e-07,86.042656,0.0,1.3524616,1.920084e-06,86.042656,2.712551,0.042050842
Normal,1.0,2.075,0.0,0.4925868,6.8960867e-07,85.69287,0.0,1.4005517,1.988357e-06,85.69287,2.8432586,0.04407711
Normal,1.0,2.1,0.0,0.4867227,6.8139906e-07,85.34612,0.0,1.448993,2.0571288e-06,85.34612,2.97704,0.04615102
Normal,1.0,2.125,0.0,0.4809966,6.733827e-07,85.00237,0.0,1.4977735,2.1263827e-06,85.00237,3.1138961,0.04827262
Normal,1.0,2.1499999,0.0,0.47540364,6.655528e-07,84.66169,0.0,1.5468822,2.1961018e-06,84.66169,3.253829,0.050441936
Normal,1.0,2.175,0.0,0.46993923,6.579026e-07,84.32401,0.0,1.5963074,2.266271e-06,84.32401,3.396838,0.05265888
Normal,1.0,2.2,0.0,0.4645989,6.504265e-07,83.989395,0.0,1.6460389,2.336875e-06,83.989395,3.5429246,0.054923564
Normal,1.0,2.225,0.0,0.45937875,6.4311837e-07,83.657814,0.0,1.6960639,2.4078954e-06,83.657814,3.6920817,0.05723585
Normal,1.0,2.25,0.0,0.45427454,6.359726e-07,83.329285,0.0,1.7463758,2.4793226e-06,83.329285,3.8443182,0.05959588
Normal,1.0,2.2749999,0.0,0.44928244,6.2898386e-07,83.00372,0.0,1.7969631,2.5511404e-06,83.00372,3.999629,0.062003516
Normal,1.0,2.3,0.0,0.44439894,6.221472e-07,82.68124,0.0,1.8478172,2.623338e-06,82.68124,4.1580143,0.06445886
Normal,1.0,2.325,0.0,0.4396205,6.154572e-07,82.36171,0.0,1.8989295,2.6959021e-06,82.36171,4.319474,0.06696191
Normal,1.0,2.35,0.0,0.43494374,6.089099e-07,82.04514,0.0,1.9502921,2.7688218e-06,82.04514,4.48401,0.06951257
Normal,1.0,2.375,0.0,0.43036535,6.0250034e-07,81.731544,0.0,2.0018978,2.842086e-06,81.731544,4.651624,0.07211098
Normal,1.0,2.4,0.0,0.42588228,5.962243e-07,81.420906,0.0,2.0537379,2.9156831e-06,81.420906,4.8223133,0.07475707
Normal,1.0,2.425,0.0,0.42149186,5.900776e-07,81.11314,0.0,2.1058042,2.9896019e-06,81.11314,4.9960732,0.07745076
Normal,1.0,2.4499998,0.0,0.4171909,5.8405635e-07,80.80828,0.0,2.1580923,3.063835e-06,80.80828,5.172913,0.08019215
Normal,1.0,2.475,0.0,0.4129769,5.7815697e-07,80.50629,0.0,2.2105932,3.1383706e-06,80.50629,5.3528256,0.08298123
Normal,1.0,2.5,0.0,0.4088471,5.723752e-07,80.207146,0.0,2.2633026,3.2132018e-06,80.207146,5.5358167,0.08581805
Normal,1.0,2.5249999,0.0,0.4047991,5.667084e-07,79.91079,0.0,2.3162122,3.2883167e-06,79.91079,5.721881,0.08870244
Normal,1.0,2.55,0.0,0.40083048,5.611521e-07,79.6172,0.0,2.369318,3.3637114e-06,79.6172,5.9110227,0.09163461
Normal,1.0,2.575,0.0,0.39693886,5.557043e-07,79.3264,0.0,2.4226127,3.4393727e-06,79.3264,6.103239,0.0946144
Normal,1.0,2.6,0.0,0.39312217,5.50361e-07,79.03833,0.0,2.4760919,3.5152966e-06,79.03833,6.29853,0.09764183
Normal,1.0,2.625,0.0,0.3893782,5.4511935e-07,78.75297,0.0,2.5297499,3.5914734e-06,78.75297,6.4968967,0.10071695
Normal,1.0,2.6499999,0.0,0.38570476,5.399768e-07,78.470245,0.0,2.5835807,3.6678991e-06,78.470245,6.6983376,0.10383981
Normal,1.0,2.675,0.0,0.38210008,5.3493017e-07,78.190155,0.0,2.6375823,3.7445648e-06,78.190155,6.9028573,0.10701035
Normal,1.0,2.6999998,0.0,0.37856212,5.299771e-07,77.91269,0.0,2.6917467,3.821461e-06,77.91269,7.1104493,0.110228516
Normal,1.0,2.725,0.0,0.37508905,5.2511507e-07,77.63779,0.0,2.7460716,3.8985872e-06,77.63779,7.321119,0.11349437
Normal,1.0,2.75,0.0,0.37167913,5.203412e-07,77.36545,0.0,2.8005514,3.9759316e-06,77.36545,7.5348635,0.116807885
Normal,1.0,2.775,0.0,0.36833072,5.1565337e-07,77.09562,0.0,2.8551822,4.05349e-06,77.09562,7.751681,0.120169096
Normal,1.0,2.8,0.0,0.365042,5.110494e-07,76.82829,0.0,2.9099605,4.131259e-06,76.82829,7.971577,0.12357795
Normal,1.0,2.825,0.0,0.36181155,5.0652676e-07,76.56341,0.0,2.964882,4.20923e-06,76.56341,8.194548,0.12703449
Normal,1.0,2.85,0.0,0.35863778,5.020836e-07,76.300964,0.0,3.0199423,4.2873985e-06,76.300964,8.420591,0.13053875
Normal,1.0,2.875,0.0,0.35551918,4.977175e-07,76.04092,0.0,3.0751398,4.3657633e-06,76.04092,8.649715,0.13409068
Normal,1.0,2.8999999,0.0,0.3524544,4.934271e-07,75.78325,0.0,3.130468,4.444312e-06,75.78325,8.881909,0.13769026
Normal,1.0,2.925,0.0,0.34944195,4.892097e-07,75.5279,0.0,3.185926,4.5230468e-06,75.5279,9.117183,0.14133754
Normal,1.0,2.9499998,0.0,0.34648058,4.850638e-07,75.274864,0.0,3.2415094,4.601958e-06,75.274864,9.35553,0.1450325
Normal,1.0,2.9750001,0.0,0.34356892,4.809875e-07,75.02413,0.0,3.2972164,4.6810446e-06,75.02413,9.596958,0.14877509
Normal,1.0,3.0,0.0,0.34070593,4.769794e-07,74.77564,0.0,3.353041,4.7603e-06,74.77564,9.841452,0.15256545
GMM_location_0.10,1.1,0.5,0.0,2.1927154,2.9382218e-06,39.280407,0.0,0.14736474,2.0842616e-07,39.280407,0.0672065,0.0011483672
GMM_location_0.10,1.1,0.525,0.0,2.0883005,2.7983065e-06,40.78697,0.0,0.14895166,2.1037764e-07,40.78697,0.07132674,0.0012322098
GMM_location_0.10,1.1,0.55,0.0,1.9933776,2.671111e-06,42.141705,0.0,0.15180641,2.1411346e-07,42.141705,0.07615537,0.0013294456
GMM_location_0.10,1.1,0.575,0.0,1.9067088,2.5549762e-06,43.35825,0.0,0.1557636,2.1941266e-07,43.35825,0.08169239,0.0014401163
GMM_location_0.10,1.1,0.59999996,0.0,1.827263,2.4485191e-06,44.449257,0.0,0.16068539,2.2608982e-07,44.449257,0.08793775,0.001564263
GMM_location_0.10,1.1,0.625,0.0,1.7541722,2.3505777e-06,45.426258,0.0,0.16645609,2.3398698e-07,45.426258,0.09489153,0.0017019198
GMM_location_0.10,1.1,0.65,0.0,1.6867042,2.260171e-06,46.299725,0.0,0.1729777,2.4296915e-07,46.299725,0.10255367,0.0018531181
GMM_location_0.10,1.1,0.675,0.0,1.6242337,2.1764613e-06,47.07923,0.0,0.18016686,2.5291982e-07,47.07923,0.11092422,0.0020178799
GMM_location_0.10,1.1,0.7,0.0,1.5662253,2.0987302e-06,47.77344,0.0,0.18795192,2.6373795e-07,47.77344,0.12000312,0.0021962242
GMM_location_0.10,1.1,0.725,0.0,1.5122175,2.02636e-06,48.390232,0.0,0.19627136,2.7533503e-07,48.390232,0.12979043,0.002388165
GMM_location_0.10,1.1,0.75,0.0,1.4618104,1.9588147e-06,48.93678,0.0,0.20507166,2.8763452e-07,48.93678,0.14028609,0.002593713
GMM_location_0.10,1.1,0.775,0.0,1.4146553,1.8956276e-06,49.4196,0.0,0.21430632,3.0056881e-07,49.4196,0.15149014,0.0028128768
GMM_location_0.10,1.1,0.79999995,0.0,1.3704473,1.8363894e-06,49.844643,0.0,0.2239346,3.1407816e-07,49.844643,0.16340257,0.0030456611
GMM_location_0.10,1.1,0.825,0.0,1.3289186,1.7807407e-06,50.21729,0.0,0.23392075,3.281102e-07,50.21729,0.1760234,0.0032920672
GMM_location_0.10,1.1,0.85,0.0,1.2898327,1.7283663e-06,50.542385,0.0,0.24423318,3.426184e-07,50.542385,0.1893526,0.003552099
GMM_location_0.10,1.1,0.875,0.0,1.2529802,1.6789844e-06,50.824375,0.0,0.2548439,3.5756148e-07,50.824375,0.2033902,0.0038257581
GMM_location_0.10,1.1,0.9,0.0,1.2181753,1.6323456e-06,51.067223,0.0,0.2657281,3.7290303e-07,51.067223,0.21813616,0.0041130455
GMM_location_0.10,1.1,0.92499995,0.0,1.1852517,1.5882282e-06,51.274574,0.0,0.2768635,3.8861012e-07,51.274574,0.23359045,0.0044139596
GMM_location_0.10,1.1,0.9499999,0.0,1.1540608,1.546433e-06,51.449688,0.0,0.28823042,4.0465315e-07,51.449688,0.24975322,0.0047285007
GMM_location_0.10,1.1,0.975,0.0,1.1244694,1.5067804e-06,51.59554,0.0,0.29981104,4.2100672e-07,51.59554,0.26662445,0.0050566737
GMM_location_0.10,1.1,1.0,0.0,1.0963576,1.469111e-06,51.71482,0.0,0.3115891,4.3764618e-07,51.71482,0.2842039,0.005398468
GMM_location_0.10,1.1,1.025,0.0,1.0696174,1.4332793e-06,51.80999,0.0,0.32355037,4.5455104e-07,51.80999,0.3024917,0.0057538906
GMM_location_0.10,1.1,1.05,0.0,1.0441505,1.3991539e-06,51.883293,0.0,0.33568168,4.7170124e-07,51.883293,0.32148784,0.006122933
GMM_location_0.10,1.1,1.075,0.0,1.0198677,1.366615e-06,51.936764,0.0,0.34797135,4.890801e-07,51.936764,0.34119266,0.006505607
GMM_location_0.10,1.1,1.0999999,0.0,0.99668896,1.3355555e-06,51.972286,0.0,0.36040834,5.0667126e-07,51.972286,0.3616056,0.006901894
GMM_location_0.10,1.1,1.125,0.0,0.9745403,1.3058765e-06,51.991516,0.0,0.37298286,5.244606e-07,51.991516,0.38272697,0.007311808
GMM_location_0.10,1.1,1.15,0.0,0.9533544,1.277488e-06,51.99605,0.0,0.3856861,5.424347e-07,51.99605,0.4045569,0.007735345
GMM_location_0.10,1.1,1.175,0.0,0.9330705,1.2503075e-06,51.987274,0.0,0.39850968,5.605823e-07,51.987274,0.42709494,0.008172501
GMM_location_0.10,1.1,1.2,0.0,0.91363144,1.2242591e-06,51.966496,0.0,0.4114462,5.788917e-07,51.966496,0.45034155,0.008623278
GMM_location_0.10,1.1,1.225,0.0,0.89498585,1.1992744e-06,51.934887,0.0,0.42448872,5.973531e-07,51.934887,0.47429657,0.009087678
GMM_location_0.10,1.1,1.25,0.0,0.87708604,1.175289e-06,51.893497,0.0,0.43763074,6.159569e-07,51.893497,0.49895987,0.009565686
GMM_location_0.10,1.1,1.275,0.0,0.8598884,1.1522444e-06,51.843307,0.0,0.45086658,6.346948e-07,51.843307,0.5243315,0.010057317
GMM_location_0.10,1.1,1.3,0.0,0.8433521,1.1300855e-06,51.785164,0.0,0.46419075,6.5355937e-07,51.785164,0.5504116,0.010562565
GMM_location_0.10,1.1,1.3249999,0.0,0.8274398,1.1087633e-06,51.719875,0.0,0.47759825,6.725429e-07,51.719875,0.5772,0.01108143
GMM_location_0.10,1.1,1.3499999,0.0,0.812117,1.0882302e-06,51.648132,0.0,0.49108437,6.916385e-07,51.648132,0.6046966,0.011613904
GMM_location_0.10,1.1,1.375,0.0,0.7973511,1.0684444e-06,51.57057,0.0,0.5046452,7.1084105e-07,51.57057,0.63290215,0.012160014
GMM_location_0.10,1.1,1.3999999,0.0,0.7831128,1.0493652e-06,51.487774,0.0,0.5182761,7.301433e-07,51.487774,0.66181535,0.012719715
GMM_location_0.10,1.1,1.425,0.0,0.7693739,1.0309557e-06,51.40023,0.0,0.531974,7.49541e-07,51.40023,0.6914376,0.013293048
GMM_location_0.10,1.1,1.45,0.0,0.7561087,1.0131802e-06,51.30837,0.0,0.5457352,7.6902853e-07,51.30837,0.72176814,0.013879994
GMM_location_0.10,1.1,1.4749999,0.0,0.7432934,9.960075e-07,51.212646,0.0,0.55955625,7.886015e-07,51.212646,0.75280666,0.014480544
GMM_location_0.10,1.1,1.5,0.0,0.73090506,9.794077e-07,51.113373,0.0,0.57343465,8.082563e-07,51.113373,0.78455424,0.015094723
GMM_location_0.10,1.1,1.5250001,0.0,0.71892303,9.633518e-07,51.010895,0.0,0.587367,8.279873e-07,51.010895,0.81700957,0.015722504
GMM_location_0.10,1.1,1.55,0.0,0.7073275,9.478135e-07,50.90549,0.0,0.6013511,8.477921e-07,50.90549,0.8501735,0.016363902
GMM_location_0.10,1.1,1.575,0.0,0.6961001,9.327691e-07,50.79741,0.0,0.61538434,8.676663e-07,50.79741,0.8840457,0.017018914
GMM_location_0.10,1.1,1.5999999,0.0,0.6852236,9.1819453e-07,50.686855,0.0,0.6294644,8.876069e-07,50.686855,0.9186263,0.017687526
GMM_location_0.10,1.1,1.625,0.0,0.67468166,9.0406843e-07,50.574066,0.0,0.6435891,9.076118e-07,50.574066,0.9539152,0.018369766
