P,tau2,s2,mu_ce,var_ce,se_ce,ef_ce,mu_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
GMM_scale_100.00,0.505,0.975,0.0,0.52036786,7.291906e-07,40.210636,0.0,2.4663901,3.4090697e-06,40.210636,4.739705,0.014200078
GMM_scale_100.00,0.505,1.0,0.0,0.5073588,7.109608e-07,39.760654,0.0,2.673136,3.694917e-06,39.760654,5.268729,0.015469176
GMM_scale_100.00,0.505,1.025,0.0,0.4949842,6.936203e-07,39.3238,0.0,2.8874636,3.9914103e-06,39.3238,5.833446,0.017289633
GMM_scale_100.00,0.505,1.05,0.0,0.48319882,6.771055e-07,38.89966,0.0,3.1088037,4.29774e-06,38.89966,6.4337983,0.019650342
GMM_scale_100.00,0.505,1.075,0.0,0.4719616,6.613588e-07,38.487762,0.0,3.3366764,4.61323e-06,38.487762,7.069805,0.022519581
GMM_scale_100.00,0.505,1.0999999,0.0,0.46123523,6.4632803e-07,38.08769,0.0,3.5706348,4.9372443e-06,38.08769,7.7414618,0.025860386
GMM_scale_100.00,0.505,1.125,0.0,0.45098558,6.3196495e-07,37.69898,0.0,3.8102746,5.2692117e-06,37.69898,8.448772,0.029639414
GMM_scale_100.00,0.505,1.15,0.0,0.44118148,6.1822664e-07,37.321156,0.0,4.055226,5.608615e-06,37.321156,9.191741,0.033829387
GMM_scale_100.00,0.505,1.175,0.0,0.43179467,6.050731e-07,36.953815,0.0,4.305147,5.954975e-06,36.953815,9.970357,0.038409516
GMM_scale_100.00,0.505,1.2,0.0,0.42279896,5.924672e-07,36.596523,0.0,4.5597305,6.307855e-06,36.596523,10.784631,0.043363906
GMM_scale_100.00,0.505,1.225,0.0,0.41417035,5.8037585e-07,36.248882,0.0,4.8186874,6.666855e-06,36.248882,11.634554,0.048680723
GMM_scale_100.00,0.505,1.25,0.0,0.40588698,5.6876854e-07,35.9105,0.0,5.0817575,7.031604e-06,35.9105,12.520129,0.054351136
GMM_scale_100.00,0.505,1.275,0.0,0.39792842,5.576161e-07,35.581005,0.0,5.3486996,7.4017644e-06,35.581005,13.441361,0.0603686
GMM_scale_100.00,0.505,1.3,0.0,0.3902759,5.468928e-07,35.260044,0.0,5.6192894,7.777024e-06,35.260044,14.398249,0.06672811
GMM_scale_100.00,0.505,1.3249999,0.0,0.38291225,5.365742e-07,34.947292,0.0,5.8933206,8.157092e-06,34.947292,15.390786,0.07342559
GMM_scale_100.00,0.505,1.3499999,0.0,0.3758213,5.266378e-07,34.642387,0.0,6.170598,8.541703e-06,34.642387,16.418968,0.080458246
GMM_scale_100.00,0.505,1.375,0.0,0.36898816,5.1706246e-07,34.345062,0.0,6.4509554,8.930606e-06,34.345062,17.482824,0.08782378
GMM_scale_100.00,0.505,1.3999999,0.0,0.36239916,5.0782916e-07,34.05503,0.0,6.734213,9.323576e-06,34.05503,18.582308,0.09552018
GMM_scale_100.00,0.505,1.425,0.0,0.35604122,4.9892003e-07,33.771984,0.0,7.020232,9.720392e-06,33.771984,19.71747,0.10354627
GMM_scale_100.00,0.505,1.45,0.0,0.34990257,4.903177e-07,33.49568,0.0,7.3088646,1.0120861e-05,33.49568,20.888285,0.111900695
GMM_scale_100.00,0.505,1.4749999,0.0,0.34397203,4.820071e-07,33.22587,0.0,7.5999713,1.0524795e-05,33.22587,22.094736,0.12058263
GMM_scale_100.00,0.505,1.5,0.0,0.33823916,4.739738e-07,32.962303,0.0,7.893438,1.0932017e-05,32.962303,23.336853,0.12959146
GMM_scale_100.00,0.505,1.5250001,0.0,0.3326942,4.6620383e-07,32.704754,0.0,8.189141,1.1342367e-05,32.704754,24.61462,0.13892621
GMM_scale_100.00,0.505,1.55,0.0,0.3273282,4.586843e-07,32.45302,0.0,8.486977,1.1755687e-05,32.45302,25.928034,0.1485866
GMM_scale_100.00,0.505,1.575,0.0,0.3221325,4.5140354e-07,32.206867,0.0,8.786844,1.2171858e-05,32.206867,27.277113,0.1585726
GMM_scale_100.00,0.505,1.5999999,0.0,0.31709924,4.4435046e-07,31.966103,0.0,9.088641,1.2590717e-05,31.966103,28.66182,0.16888303
GMM_scale_100.00,0.505,1.625,0.0,0.3122208,4.375143e-07,31.730566,0.0,9.392289,1.30121625e-05,31.730566,30.082201,0.1795182
GMM_scale_100.00,0.505,1.65,0.0,0.30749008,4.3088534e-07,31.500057,0.0,9.697696,1.3436065e-05,31.500057,31.538239,0.19047786
GMM_scale_100.00,0.505,1.675,0.0,0.30290073,4.244542e-07,31.274399,0.0,10.004788,1.3862319e-05,31.274399,33.029926,0.2017618
GMM_scale_100.00,0.505,1.6999999,0.0,0.29844633,4.1821218e-07,31.053436,0.0,10.313483,1.4290811e-05,31.053436,34.557247,0.21336967
GMM_scale_100.00,0.505,1.7249999,0.0,0.29412103,4.1215122e-07,30.837011,0.0,10.623722,1.4721462e-05,30.837011,36.12024,0.22530138
GMM_scale_100.00,0.505,1.75,0.0,0.28991932,4.062633e-07,30.624977,0.0,10.935432,1.5154167e-05,30.624977,37.718884,0.23755684
GMM_scale_100.00,0.505,1.775,0.0,0.28583592,4.0054138e-07,30.417187,0.0,11.248555,1.5588845e-05,30.417187,39.353188,0.25013608
GMM_scale_100.00,0.505,1.8,0.0,0.28186598,3.9497826e-07,30.213503,0.0,11.563025,1.60254e-05,30.213503,41.023132,0.26303855
GMM_scale_100.00,0.505,1.8249999,0.0,0.2780048,3.8956756e-07,30.013784,0.0,11.878793,1.646378e-05,30.013784,42.728733,0.27626503
GMM_scale_100.00,0.505,1.85,0.0,0.27424794,3.8430298e-07,29.817924,0.0,12.195808,1.6903885e-05,29.817924,44.47001,0.28981462
GMM_scale_100.00,0.505,1.875,0.0,0.27059132,3.7917917e-07,29.625792,0.0,12.514015,1.7345661e-05,29.625792,46.24692,0.30368784
GMM_scale_100.00,0.505,1.9,0.0,0.2670309,3.7418982e-07,29.437288,0.0,12.833364,1.7789036e-05,29.437288,48.05947,0.3178841
GMM_scale_100.00,0.505,1.925,0.0,0.263563,3.6933022e-07,29.25228,0.0,13.15382,1.8233957e-05,29.25228,49.90769,0.33240357
GMM_scale_100.00,0.505,1.95,0.0,0.26018393,3.645953e-07,29.070673,0.0,13.475335,1.868036e-05,29.070673,51.791573,0.34724677
GMM_scale_100.00,0.505,1.975,0.0,0.25689045,3.5998005e-07,28.892363,0.0,13.797869,1.9128176e-05,28.892363,53.7111,0.3624128
GMM_scale_100.00,0.505,2.0,0.0,0.2536794,3.5548038e-07,28.717255,0.0,14.121378,1.957736e-05,28.717255,55.66624,0.377902
GMM_scale_100.00,0.505,2.0249999,0.0,0.25054756,3.5109176e-07,28.545246,0.0,14.445839,2.002787e-05,28.545246,57.657074,0.3937148
GMM_scale_100.00,0.505,2.05,0.0,0.24749207,3.4681014e-07,28.376251,0.0,14.771209,2.0479643e-05,28.376251,59.683563,0.40985024
GMM_scale_100.00,0.505,2.075,0.0,0.2445102,3.426316e-07,28.21019,0.0,15.097455,2.0932657e-05,28.21019,61.745705,0.4263093
GMM_scale_100.00,0.505,2.1,0.0,0.24159937,3.385527e-07,28.046972,0.0,15.424547,2.1386842e-05,28.046972,63.84349,0.44309124
GMM_scale_100.00,0.505,2.125,0.0,0.23875707,3.3456988e-07,27.886509,0.0,15.752455,2.1842166e-05,27.886509,65.97691,0.4601965
GMM_scale_100.00,0.505,2.1499999,0.0,0.23598082,3.3067943e-07,27.728758,0.0,16.08115,2.2298593e-05,27.728758,68.146,0.47762454
GMM_scale_100.00,0.505,2.175,0.0,0.2332684,3.2687856e-07,27.573618,0.0,16.41061,2.2756089e-05,27.573618,70.35077,0.49537653
GMM_scale_100.00,0.505,2.2,0.0,0.23061758,3.231639e-07,27.421007,0.0,16.740805,2.32146e-05,27.421007,72.59119,0.5134508
GMM_scale_100.00,0.505,2.225,0.0,0.2280264,3.1953292e-07,27.27088,0.0,17.0717,2.36741e-05,27.27088,74.8672,0.5318485
GMM_scale_100.00,0.505,2.25,0.0,0.22549276,3.159826e-07,27.123154,0.0,17.40329,2.4134568e-05,27.123154,77.17893,0.55056924
GMM_scale_100.00,0.505,2.2749999,0.0,0.22301483,3.125102e-07,26.977789,0.0,17.735542,2.4595962e-05,26.977789,79.52629,0.5696126
GMM_scale_100.00,0.505,2.3,0.0,0.22059074,3.0911326e-07,26.834696,0.0,18.068434,2.5058243e-05,26.834696,81.9093,0.58897984
GMM_scale_100.00,0.505,2.325,0.0,0.21821882,3.0578963e-07,26.693832,0.0,18.401947,2.55214e-05,26.693832,84.32796,0.6086695
GMM_scale_100.00,0.505,2.35,0.0,0.21589734,3.0253656e-07,26.555145,0.0,18.736057,2.5985388e-05,26.555145,86.78225,0.6286824
GMM_scale_100.00,0.505,2.375,0.0,0.21362473,2.9935197e-07,26.41856,0.0,19.070757,2.6450196e-05,26.41856,89.27223,0.6490186
GMM_scale_100.00,0.505,2.4,0.0,0.21139948,2.962336e-07,26.284027,0.0,19.406023,2.6915806e-05,26.284027,91.797874,0.6696779
GMM_scale_100.00,0.505,2.425,0.0,0.20922008,2.9317977e-07,26.151524,0.0,19.741821,2.7382142e-05,26.151524,94.359116,0.69065976
GMM_scale_100.00,0.505,2.4499998,0.0,0.20708519,2.9018804e-07,26.020966,0.0,20.078163,2.7849253e-05,26.020966,96.956055,0.7119656
GMM_scale_100.00,0.505,2.475,0.0,0.20499344,2.8725677e-07,25.892317,0.0,20.415016,2.8317047e-05,25.892317,99.58863,0.7335934
GMM_scale_100.00,0.505,2.5,0.0,0.20294349,2.8438436e-07,25.765532,0.0,20.752367,2.8785586e-05,25.765532,102.256874,0.75554454
GMM_scale_100.00,0.505,2.5249999,0.0,0.20093416,2.8156862e-07,25.640574,0.0,21.090202,2.9254763e-05,25.640574,104.96076,0.777819
GMM_scale_100.00,0.505,2.55,0.0,0.1989642,2.788081e-07,25.51739,0.0,21.42851,2.9724622e-05,25.51739,107.70034,0.8004171
GMM_scale_100.00,0.505,2.575,0.0,0.19703251,2.7610122e-07,25.395945,0.0,21.76727,3.01951e-05,25.395945,110.47552,0.8233379
GMM_scale_100.00,0.505,2.6,0.0,0.19513796,2.734465e-07,25.27618,0.0,22.106476,3.0666204e-05,25.27618,113.28639,0.846581
GMM_scale_100.00,0.505,2.625,0.0,0.19327952,2.7084215e-07,25.158081,0.0,22.44611,3.1137886e-05,25.158081,116.1329,0.87014806
GMM_scale_100.00,0.505,2.6499999,0.0,0.19145615,2.682871e-07,25.041595,0.0,22.786161,3.1610176e-05,25.041595,119.01504,0.89403725
GMM_scale_100.00,0.505,2.675,0.0,0.1896668,2.6577976e-07,24.9267,0.0,23.12662,3.2083033e-05,24.9267,121.932884,0.91825014
GMM_scale_100.00,0.505,2.6999998,0.0,0.18791065,2.633189e-07,24.813337,0.0,23.467468,3.2556425e-05,24.813337,124.886314,0.9427862
GMM_scale_100.00,0.505,2.725,0.0,0.18618669,2.6090297e-07,24.701485,0.0,23.808708,3.303037e-05,24.701485,127.87546,0.9676453
GMM_scale_100.00,0.505,2.75,0.0,0.18449408,2.585312e-07,24.591116,0.0,24.150322,3.350484e-05,24.591116,130.90025,0.9928276
GMM_scale_100.00,0.505,2.775,0.0,0.18283197,2.5620204e-07,24.482187,0.0,24.492294,3.397979e-05,24.482187,133.96068,1.0183321
GMM_scale_100.00,0.505,2.8,0.0,0.18119955,2.5391458e-07,24.374672,0.0,24.834621,3.4455268e-05,24.374672,137.05675,1.0441604
GMM_scale_100.00,0.505,2.825,0.0,0.17959602,2.5166753e-07,24.268541,0.0,25.177294,3.4931207e-05,24.268541,140.18848,1.0703114
GMM_scale_100.00,0.505,2.85,0.0,0.17802061,2.4945993e-07,24.163767,0.0,25.520302,3.540761e-05,24.163767,143.35588,1.0967861
GMM_scale_100.00,0.505,2.875,0.0,0.17647259,2.472907e-07,24.060303,0.0,25.863638,3.5884485e-05,24.060303,146.55896,1.1235827
GMM_scale_100.00,0.505,2.8999999,0.0,0.17495129,2.4515893e-07,23.958141,0.0,26.207283,3.636178e-05,23.958141,149.7976,1.1507026
GMM_scale_100.00,0.505,2.925,0.0,0.17345597,2.430635e-07,23.857248,0.0,26.551247,3.6839534e-05,23.857248,153.07198,1.1781471
GMM_scale_100.00,0.505,2.9499998,0.0,0.17198601,2.4100365e-07,23.757607,0.0,26.895508,3.731771e-05,23.757607,156.38194,1.205913
GMM_scale_100.00,0.505,2.9750001,0.0,0.17054075,2.3897843e-07,23.659185,0.0,27.240068,3.7796275e-05,23.659185,159.72762,1.2340024
GMM_scale_100.00,0.505,3.0,0.0,0.16911958,2.3698689e-07,23.561945,0.0,27.584911,3.8275262e-05,23.561945,163.10892,1.2624147
GMM_scale_10.00,0.55,0.5,0.0,1.0987958,1.5576594e-06,54.260437,0.0,1.305053,1.842189e-06,54.260437,1.1877121,0.022035353
GMM_scale_10.00,0.55,0.525,0.0,1.0464721,1.4834852e-06,63.12492,0.0,1.0681621,1.5126932e-06,63.12492,1.0207268,0.019322308
GMM_scale_10.00,0.55,0.55,0.0,0.9989052,1.4160539e-06,70.32081,0.0,0.87462276,1.243894e-06,70.32081,0.8755814,0.016891034
GMM_scale_10.00,0.55,0.575,0.0,0.95547444,1.3544864e-06,75.645676,0.0,0.71878123,1.0278402e-06,75.645676,0.7522768,0.0147458045
GMM_scale_10.00,0.55,0.59999996,0.0,0.9156631,1.2980496e-06,79.26378,0.0,0.5959246,8.57819e-07,79.26378,0.6508121,0.0128902625
GMM_scale_10.00,0.55,0.625,0.0,0.8790366,1.2461278e-06,81.51301,0.0,0.50209427,7.280647e-07,81.51301,0.57118696,0.011325864
GMM_scale_10.00,0.55,0.65,0.0,0.84522754,1.1981994e-06,82.75272,0.0,0.4339419,6.3356583e-07,82.75272,0.51340246,0.010049522
GMM_scale_10.00,0.55,0.675,0.0,0.81392264,1.1538217e-06,83.287506,0.0,0.38861388,5.6996777e-07,83.287506,0.477458,0.009050581
GMM_scale_10.00,0.55,0.7,0.0,0.7848541,1.1126141e-06,83.34742,0.0,0.3636651,5.335975e-07,83.34742,0.46335375,0.008308629
GMM_scale_10.00,0.55,0.725,0.0,0.7577901,1.0742481e-06,83.09514,0.0,0.35698703,5.2151296e-07,83.09514,0.4710896,0.007794094
GMM_scale_10.00,0.55,0.75,0.0,0.7325305,1.0384397e-06,82.64142,0.0,0.36675274,5.314595e-07,82.64142,0.5006655,0.007473124
GMM_scale_10.00,0.55,0.775,0.0,0.70890045,1.0049415e-06,82.06015,0.0,0.39137086,5.616833e-07,82.06015,0.5520815,0.007315687
GMM_scale_10.00,0.55,0.79999995,0.0,0.6867474,9.735373e-07,81.39992,0.0,0.429449,6.106893e-07,81.39992,0.62533766,0.007303882
GMM_scale_10.00,0.55,0.825,0.0,0.6659368,9.440363e-07,80.69271,0.0,0.4797636,6.770732e-07,80.69271,0.72043407,0.007437066
GMM_scale_10.00,0.55,0.85,0.0,0.64635044,9.162703e-07,79.95957,0.0,0.5412349,7.5946934e-07,79.95957,0.8373707,0.0077321082
GMM_scale_10.00,0.55,0.875,0.0,0.6278834,8.9009126e-07,79.214294,0.0,0.61290663,8.565651e-07,79.214294,0.97614723,0.008218662
GMM_scale_10.00,0.55,0.9,0.0,0.6104421,8.6536636e-07,78.466034,0.0,0.69392824,9.671326e-07,78.466034,1.1367635,0.008930953
GMM_scale_10.00,0.55,0.92499995,0.0,0.5939437,8.4197814e-07,77.72082,0.0,0.7835424,1.0900503e-06,77.72082,1.31922,0.009899415
GMM_scale_10.00,0.55,0.9499999,0.0,0.5783136,8.1982074e-07,76.98274,0.0,0.88107073,1.2243039e-06,76.98274,1.5235173,0.011145328
GMM_scale_10.00,0.55,0.975,0.0,0.56348497,7.988e-07,76.254425,0.0,0.98590463,1.3689839e-06,76.254425,1.7496556,0.012679907
GMM_scale_10.00,0.55,1.0,0.0,0.5493979,7.7882976e-07,75.537636,0.0,1.097495,1.523276e-06,75.537636,1.9976323,0.014506541
GMM_scale_10.00,0.55,1.025,0.0,0.535998,7.598339e-07,74.8335,0.0,1.2153479,1.6864493e-06,74.8335,2.2674487,0.016623719
GMM_scale_10.00,0.55,1.05,0.0,0.52323604,7.417426e-07,74.142685,0.0,1.3390168,1.857851e-06,74.142685,2.5591066,0.01902772
GMM_scale_10.00,0.55,1.075,0.0,0.51106775,7.244928e-07,73.46563,0.0,1.4680959,2.036893e-06,73.46563,2.8726053,0.021714127
GMM_scale_10.00,0.55,1.0999999,0.0,0.49945265,7.0802724e-07,72.802475,0.0,1.6022149,2.223036e-06,72.802475,3.2079415,0.02467865
GMM_scale_10.00,0.55,1.125,0.0,0.4883537,6.9229316e-07,72.15325,0.0,1.741039,2.4158e-06,72.15325,3.565119,0.027917549
GMM_scale_10.00,0.55,1.15,0.0,0.47773722,6.7724324e-07,71.517876,0.0,1.884262,2.6147466e-06,71.517876,3.944139,0.031427685
GMM_scale_10.00,0.55,1.175,0.0,0.46757275,6.6283394e-07,70.896225,0.0,2.0316007,2.8194736e-06,70.896225,4.344994,0.035206445
GMM_scale_10.00,0.55,1.2,0.0,0.45783153,6.4902474e-07,70.28804,0.0,2.1828015,3.0296173e-06,70.28804,4.767696,0.039251838
GMM_scale_10.00,0.55,1.225,0.0,0.44848803,6.3577943e-07,69.693085,0.0,2.3376243,3.2448409e-06,69.693085,5.2122335,0.043562043
GMM_scale_10.00,0.55,1.25,0.0,0.4395182,6.2306395e-07,69.11109,0.0,2.4958534,3.4648353e-06,69.11109,5.678612,0.048135784
GMM_scale_10.00,0.55,1.275,0.0,0.4309003,6.108468e-07,68.54176,0.0,2.6572883,3.6893193e-06,68.54176,6.1668286,0.05297203
GMM_scale_10.00,0.55,1.3,0.0,0.42261377,5.990998e-07,67.984764,0.0,2.8217454,3.918032e-06,67.984764,6.6768894,0.058069773
GMM_scale_10.00,0.55,1.3249999,0.0,0.41463992,5.877962e-07,67.4398,0.0,2.9890504,4.1507305e-06,67.4398,7.208786,0.06342834
GMM_scale_10.00,0.55,1.3499999,0.0,0.40696147,5.7691096e-07,66.906525,0.0,3.1590466,4.387196e-06,66.906525,7.7625203,0.06904716
GMM_scale_10.00,0.55,1.375,0.0,0.3995621,5.6642176e-07,66.38464,0.0,3.3315902,4.6272203e-06,66.38464,8.338104,0.07492594
GMM_scale_10.00,0.55,1.3999999,0.0,0.3924271,5.5630704e-07,65.87384,0.0,3.5065389,4.8706074e-06,65.87384,8.935517,0.0810639
GMM_scale_10.00,0.55,1.425,0.0,0.3855424,5.465471e-07,65.37379,0.0,3.6837723,5.117188e-06,65.37379,9.554779,0.087460965
GMM_scale_10.00,0.55,1.45,0.0,0.37889504,5.3712387e-07,64.884186,0.0,3.8631706,5.366795e-06,64.884186,10.195886,0.09411694
GMM_scale_10.00,0.55,1.4749999,0.0,0.37247315,5.2802017e-07,64.40472,0.0,4.044619,5.619269e-06,64.40472,10.858821,0.10103137
GMM_scale_10.00,0.55,1.5,0.0,0.3662652,5.1921984e-07,63.935097,0.0,4.2280216,5.874466e-06,63.935097,11.543607,0.108204186
GMM_scale_10.00,0.55,1.5250001,0.0,0.3602609,5.10708e-07,63.475056,0.0,4.413277,6.132257e-06,63.475056,12.250225,0.11563517
GMM_scale_10.00,0.55,1.55,0.0,0.35445023,5.024708e-07,63.02429,0.0,4.6002975,6.3925086e-06,63.02429,12.978683,0.12332425
GMM_scale_10.00,0.55,1.575,0.0,0.34882402,4.9449505e-07,62.582527,0.0,4.7890005,6.655116e-06,62.582527,13.728987,0.13127135
GMM_scale_10.00,0.55,1.5999999,0.0,0.3433737,4.8676867e-07,62.149517,0.0,4.979304,6.9199514e-06,62.149517,14.501122,0.13947602
GMM_scale_10.00,0.55,1.625,0.0,0.338091,4.7927983e-07,61.725002,0.0,5.171136,7.18693e-06,61.725002,15.295101,0.14793876
GMM_scale_10.00,0.55,1.65,0.0,0.3329684,4.7201812e-07,61.30873,0.0,5.3644285,7.455939e-06,61.30873,16.110924,0.15665889
GMM_scale_10.00,0.55,1.675,0.0,0.32799873,4.6497289e-07,60.900444,0.0,5.559116,7.726899e-06,60.900444,16.94859,0.16563678
GMM_scale_10.00,0.55,1.6999999,0.0,0.32317525,4.5813516e-07,60.499973,0.0,5.755131,7.999712e-06,60.499973,17.80808,0.17487207
GMM_scale_10.00,0.55,1.7249999,0.0,0.31849152,4.5149542e-07,60.10701,0.0,5.952423,8.274313e-06,60.10701,18.689425,0.18436517
GMM_scale_10.00,0.55,1.75,0.0,0.3139417,4.4504563e-07,59.721386,0.0,6.150935,8.550613e-06,59.721386,19.592604,0.19411561
GMM_scale_10.00,0.55,1.775,0.0,0.30951992,4.3877733e-07,59.34288,0.0,6.3506155,8.8285415e-06,59.34288,20.517632,0.20412333
GMM_scale_10.00,0.55,1.8,0.0,0.30522108,4.3268318e-07,58.971317,0.0,6.551411,9.10803e-06,58.971317,21.464478,0.21438852
GMM_scale_10.00,0.55,1.8249999,0.0,0.30103996,4.267561e-07,58.606434,0.0,6.7532854,9.389024e-06,58.606434,22.433186,0.22491105
GMM_scale_10.00,0.55,1.85,0.0,0.2969718,4.2098907e-07,58.24813,0.0,6.95619,9.67145e-06,58.24813,23.42374,0.2356911
GMM_scale_10.00,0.55,1.875,0.0,0.29301217,4.1537592e-07,57.89615,0.0,7.160081,9.955259e-06,57.89615,24.436121,0.24672836
GMM_scale_10.00,0.55,1.9,0.0,0.2891568,4.0991037e-07,57.550377,0.0,7.3649206,1.0240389e-05,57.550377,25.470335,0.2580228
GMM_scale_10.00,0.55,1.925,0.0,0.28540152,4.0458679e-07,57.210564,0.0,7.570674,1.0526793e-05,57.210564,26.526396,0.26957425
